Fecha	Valor
11-09-2015	691.03
10-09-2015	688.33
09-09-2015	688.33
08-09-2015	693.78
07-09-2015	691.22
04-09-2015	688.41
03-09-2015	688.24
02-09-2015	691.88
01-09-2015	695.25
31-08-2015	690.12
28-08-2015	699.69
27-08-2015	706.24
26-08-2015	699.91
25-08-2015	705.68
24-08-2015	693.94
21-08-2015	694.19
20-08-2015	694.88
19-08-2015	697.25
18-08-2015	689.36
17-08-2015	683.83
14-08-2015	684.89
13-08-2015	681.76
12-08-2015	680.32
11-08-2015	676.43
10-08-2015	678.36
07-08-2015	684.12
06-08-2015	682.55
05-08-2015	677.36
04-08-2015	678.44
03-08-2015	671.11
31-07-2015	672.19
30-07-2015	665.52
29-07-2015	664.5
28-07-2015	665.18
27-07-2015	660.67
24-07-2015	654.29
23-07-2015	654.19
22-07-2015	651.17
21-07-2015	649.3
